DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Belgium,2022,23877.100,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Belgium,2023,18585.600,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2014,13774.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2015,14826.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2016,10940.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2017,9185.794,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2018,10030.050,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2019,8855.135,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2020,7114.842,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2021,10635.291,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2022,13664.624,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Bulgaria,2023,7748.263,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Cyprus,2014,0.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Cyprus,2015,0.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Cyprus,2016,0.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Cyprus,2017,0.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Cyprus,2018,0.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Cyprus,2019,0.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Cyprus,2020,0.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Cyprus,2021,0.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Cyprus,2022,0.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Cyprus,2023,0.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Czechia,2014,28142.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Czechia,2015,28661.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Czechia,2016,24791.000,,
